text,price
LeHang PCI-E 3.0 16X Tarjeta gráfica Soporte Vertical/Base de Alta Velocidad PCI-E Cable de extensión DIY ATX,50.99
HHuin 1050TI Tarjeta gráfica DDR5 Desktop Graphics Card Independence Computer Game Graphics Componentes de la computadora,75.11
Tarjeta gráfica - Tarjeta gráfica VGA PCI 8MB 32Bit Accesorios para computadora de Escritorio Pantalla múltiple para ATI Rage XL,25.09
"MSI Geforce GTX 1660 SUPER VENTUS XS OC - Tarjeta gráfica (6 GB GDDR6, 192 bit, Boost: 1815 MHz, DisplayPort x 3, HDMI 2.0b x 1)",25.09
"MSI GeForce RTX 2060 Ventus 12G OC Tarjeta Gráfica, 12GB GDDR6, Torx Fan 2.0, 192 bit, PCI Express x16 3.0, DisplayPort x 3 (v1.4a), Resolución 4320",25.09
"XFX Speedster SWFT 210 Radeon RX 6600 Core Gaming Tarjeta gráfica con 8GB GDDR6 HDMI 3xDP, AMD RDNA™ 2 (RX-66XL8LFDQ)",25.09
VGA GBT RTX3050 8GB Gaming OC,25.09
"Asus GT730-SL - Tarjeta gráfica de 2 GB GDDR5 (DVI, HDMI, 902 MHz, PCI Express 2.0)",25.09
Gigabyte Technology Tarjeta Grafica Radeon RX 6600 XT Gaming OC 8GB (GV-R66XTGAMING OC-8GD),25.09
"DIFCUL Soporte Tarjeta Grafica, Aluminio aeroespacial anodizado, Tarjetas de Ranura Individual, Negro",10.99
"Soporte Tarjeta Grafica, Soporte GPU Tarjeta De Video, Graphics Card Holder (L)",13.99
"HRNAKDFKL Tarjeta gráfica Hd7450, 2g Ddr3 Display Card con puerto compatible con Vga Dvi Hdmi de bajo consumo Multifuncional Discreto Tarjeta gráfica para juegos de computadora Video Diplayport",69.99
"Tarjeta gráfica 2G de 64 bits, Tarjeta gráfica DDR3 de bajo Ruido, gráficos de Ranura PCI Express 3.0, Tarjeta gráfica de computadora AMD, Accesorios para computadora, Oficina, Escritorio",85.99
"Lenovo ThinkStation nVidia RTX T600, 4X61E26090",229.00
"ZOTAC Gaming GEFORCE RTX 3060 Ti Twin Edge OC LHR, Gris",229.00
Lamdoo Tarjeta gráfica HD7670 4GB DDR5 128 bit Low-Noise and Ultra-High-Definition Desktop Gaming Tarjeta de Video discreta para PC,83.20
SAPPHIRE TECHNOLOGY Nitro+ Radeon RX 6900 XT SE CTLR,1.597.90
"Gainward GTX1650 Ghost Dual Fan- Tarjeta gráfica (4 GB, DDR6)",349.99
Tarjeta gráfica NVIDIA GeForce RTX 3080ti Founders Edition,2.079.99
"upHere GPU - Tarjeta gráfica de Soporte ARGB LED para Tarjetas gráficas de vídeo para Soportes de Esfera/Funda para Marco, Tarjetas Individuales o Dobles, G276ARGB",15.99
"SAPLOS Radeon RX 550 Tarjeta Gráfica, 4GB, GDDR5, 128 bits, DisplayPort/DVI-D/HDMI, Tarjeta de Video para Juegos de PC, Graphics Cards, 4k@60 Hz, GPU Computadora",219.99
"ASUS TURBO-RTX2060-6G - Tarjeta gráfica (NVIDIA GeForce RTX 2060, 6 GB, GDDR6, 192 bit, 7680 x 4320 Pixeles)",219.99
"MSI GeForce GTX 1050 Ti 4GT LP - Tarjeta gráfica (refrigeración DUAL FAN, 4 GB memoria GDDR5)",266.00
Ba30DEllylelly para PNY NVIDIA GeForce VCGGT610 X1GB DDR2 SDRAM PCI Express 2.0 Tarjeta de Video Video-Grafikkarte Tarjeta gráfica,28.80
Lenovo GEFORCE GT730 2GB Dual DP HP LPCTLR,96.99
"Tarjeta gráfica ASUS TUF Gaming NVIDIA GeForce GTX 1650 (PCIe 3.0, 4GB GDDR6, HDMI, DisplayPort, DVI-D, 1 Conector de 6 contactos, Resistencia al Polvo IP5X, Lubricante de Grado Espacial)",96.99
Asus TUF Gaming GeForce GTX 1650 OC Edition - Tarjeta gráfica (4 GB),96.99
"ASUS GTX 1650-O4G-LP-BRK - Tarjeta gráfica (NVIDIA GeForce GTX 1650, 4 GB, GDDR 5, 128 bit, 896 Cuda Núcleos, 1710 MHz, HDMI, DisplayPort, DVI, PCI Express 3.0 x 16)",449.00
"MSI RTX 3090 Ventus 3X 24G OC - Tarjeta Gráfica (24 Gb, GDDR6X, 384 Bit, 7680 X 4320 Pixeles, PCI Express Gen 4)",2.995.00
"EVGA GeForce GTX 1660 SC ULTRA GAMING, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan, Metal Backplate",451.93
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition - Tarjeta Gráfica (PCIe 4.0, 10GB GDDR6X, LHR, HDMI 2.1, DP 1.4a, Ventiladores con Doble rodamiento de Bolas, Grado Militar, GPU Tweak II)",451.93
"GIGABYTE VGA GBT GT730 - Tarjeta gráfica (2 GB, R2.0)",92.81
"PowerColor Red Devil AMD Radeon™ RX 6900 XT Tarjeta gráfica para Juegos con Memoria GDDR6 de 16 GB, con tecnología AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",92.81
Nitro+ AMD Radeon RX Gaming OC CTLR,92.81
MSI Radeon RX 6800 XT Gaming X Trio 16G - Tarjeta Gráfica Enthusiast Gaming,92.81
Gigabyte Technology GV-N2060D6-6GD V2 Tarjeta gráfica NVIDIA GeForce RTX 2060 6 GB GDDR6,586.97
"GeForce RTX 3060 Ventus 3X 12G OC - Tarjeta Gráfica Enthusiast Gaming (TORX Fan 3.0, 192 bit, PCI Express Gen 4, DisplayPort v1.4a, HDMI 2.1, Zero Frozr, Resolución 1440p, Ray Tracing)",787.80
"POHOVE Tarjeta Gráfica Gpu Brace Soporte, Tarjeta de Vídeo Sag Soporte, Soporte Deslizante Ajustable Soporte para Ordenador Carcasas, Anodizado Aeroespacial Aluminio - Negro, Free Size",11.99
"143 Tarjeta gráfica de 8 MB, VGA PCI 8 MB 32 bits Accesorios de computadora de Escritorio Pantalla múltiple para ATI Rage XL Compatible con Todas Las Placas Base con Conector PCI",31.89
"Gigabyte Technology Radeon RX 6800 Gaming OC - Tarjeta gráfica (16 GB), GV-R68XTGAMING OC-16GD",1.158.39
"upHere Sync A-RGB GPU Brace Soporte de Tarjeta gráfica, Un Soporte para Tarjeta de Video(GL28ARGB)",13.99
UYUYong Soporte Tarjeta Grafica Aleación de Aluminio Soporte GPU Tarjeta De Video Graphics Card Holder-Negro,11.89
"ASUS Tarjeta gráfica de Gaming Dual NVIDIA GeForce GTX 1650 Mini OC Edition (PCIe 3.0, 4GB GDDR6, HDMI, DisplayPort, DVI-D, para Intel NUC 9 Extreme Kit, Intel NUC 9 Pro Kit, y chasis pequeños)",11.89
"EVGA GeForce RTX 3060 XC GAMING, 12G-P5-3657-KR, 12GB GDDR6, Dual-Ventilador, Backplate de Metal",763.84
Tarjeta gráfica NVIDIA GeForce RTX 3080ti Founders Edition,2.079.99
"upHere GPU - Tarjeta gráfica de Soporte ARGB LED para Tarjetas gráficas de vídeo para Soportes de Esfera/Funda para Marco, Tarjetas Individuales o Dobles, G276ARGB",15.99
"Vbestlife Tarjeta gráfica para PC, Tarjeta gráfica HD6450 2G 64bit DDR3 con Ranura PCI Express 3.0, para computadora de Escritorio de Oficina",72.99
"PowerColor Red Dragon AMD Radeon™ RX 6800 XT Tarjeta gráfica para Juegos con Memoria GDDR6 de 16 GB, Alimentado por AMD RDNA™ 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",72.99
Zotac ZT-71115-20L Tarjeta gráfica NVIDIA GeForce GT 730 4 GB GDDR3,108.42
"HP WS095AA nVidia Quadro 4000 - Tarjeta gráfica (2 GB, reacondicionada)",165.00
XFX Radeon RX 6900XT SWFT319 Core Gaming 16 GB GDDR6 3 x DP,1.402.90
Gigabyte Technology GV-N730D5-2GL GeForce GT 730 2GB GDDR5 Tarjeta gráfica,94.26
HP NVIDIA Quadro T1000 Graphics Card 4 GB (20X22AA),383.55
AMD Sapphire FirePro W5100 - Tarjeta gráfica de 4 GB,383.55
"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition 24GB GDDR6X - Tarjeta gráfica (PCIe 4.0, HDMI 2.1, DisplayPort 1.4a, Doble rodamiento de Bolas, Certificación Militar, GPU Tweak II)",2.680.00
"Soporte Tarjeta Grafica, Soporte GPU Tarjeta De Video, Graphics Card Holder, plata",13.99
"PNY Tarjeta gráfica profesional Quadro P1000 DVI 4GB GDDR5 PCI Express 3.0 x16, una ranura, 4x Mini-DisplayPort, soporte 5K, ventilador activo ultra silencioso",464.23
